Madrasah Name,Mad_Eiin,center_code,center_eiin,session,Group code,Subject Name,Division,District,Police Station,Mobile,Total students
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",11
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",23
KAGATIA ESHATUL ULUM KAMIL MADRASAH,104914,161,104831,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,ROWZAN,"1819360770(p), 01815521797(v.p)",17
COX'S BAZAR MODEL WOMEN'S KAMIL MADRASAH,106292,164,106292,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01729090071(p), 01814812324(off)",6
ISLAMIA MOHILA KAMIL MADRASAH,106293,165,106293,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01711280785(p),",8
LAXHMIPUR DARUL ULUM KAMIL MADRASAH,106949,NULL,NULL,2018-19,NULL,NULL,CHATTOGRAM,LUXMIPUR,LUXMIPUR SADAR,01716103968(muhaddith),0
RAIPUR KAMIL MADRASAH,107030,NULL,NULL,2018-19,NULL,NULL,CHATTOGRAM,LUXMIPUR,RAYPUR,"01718099777(p), 01717378433(v.p)",0
JOYPURHAT SIDDIQUIYA KAMIL MADRASAH,121855,172,121855,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,JAIPURHAT,JAIPURHAT SADAR,"1712265911(p), 01718629818(v.p)",4
NAMAZGAR GAWSUL AZAM KAMIL MADRASAH,123470,169,123470,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,NAOGAON,NAOGAON SADAR,01712-749770,25
NAMAZGAR GAWSUL AZAM KAMIL MADRASAH,123470,169,123470,2018-19,6004,ARABIC LANGUAGE AND LITERATURE,Rajshahi,NAOGAON,NAOGAON SADAR,01712-749770,4
NAWABGANJ KAMIL MADRASAH,124559,168,124559,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,CHAPAINABABGANJ,NAWABGONJ SADAR,1715137533(p),5
PABNA KAMIL MADRASAH,125647,170,125647,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,PABNA,PABNA SADAR,"1720433110(p), 01715182070(off)",10
MADINATUL ULUM KAMIL MADRASAH,126477,167,126477,2018-19,6005,ISLAMIC HISTORY AND CULTURE,Rajshahi,RAJSHAHI,BOALIA(SADAR),"1713760402(p), 01740204091(v.p)",8
MADINATUL ULUM KAMIL MADRASAH,126477,167,126477,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,RAJSHAHI,BOALIA(SADAR),"1713760402(p), 01740204091(v.p)",18
ULLAPARA KAMIL MADRASAH,128615,171,128615,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,SIRAJGANJ,ULLAPARA,"01719-531030, 01746262050(off)",8
KHULNA ALIA KAMIL MADRASAH,117162,175,117162,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,KHULNA METRO,KHULNA,KHULNA SADAR,"01558-366792, 01756-601260(P), 01550-400950(off.)",17
KHULNA ALIA KAMIL MADRASAH,117162,175,117162,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,KHULNA METRO,KHULNA,KHULNA SADAR,"01558-366792, 01756-601260(P), 01550-400950(off.)",10
JHALOKATHI N. S. KAMIL MADRASAH,101688,176,101688,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,BARISHAL,JHALOKATHI,JHALOKATHI SADAR,"01718076261(p),",12
JHALOKATHI N. S. KAMIL MADRASAH,101688,176,101688,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,BARISHAL,JHALOKATHI,JHALOKATHI SADAR,"01718076261(p),",8
SYLHET GOVT. KAMIL MADRASAH,130439,177,130439,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01712-650760(P), 01914-913205(Off.)",16
SYLHET GOVT. KAMIL MADRASAH,130439,177,130439,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01712-650760(P), 01914-913205(Off.)",15
HAZRAT SHAHJALAL DARUSSUNNAH YAQUBIA KAMIL MADRASAH,130438,178,130438,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01710-361109(P), 01712-148236(v.p)",20
BADE DEORAIL FULTALI KAMIL MADRASAH,130525,179,130525,2018-19,6002,AL-HADITH AND ISLAMIC STUDIES,Sylhet,SYLHET,JAKIGONJ,"01715-978788(v.p), 01715-832174",6
BHABANIPUR ISLAMIA KAMIL MADRASAH,121024,174,121024,2018-19,6001,AL-QURAN AND ISLAMIC STUDIES,Rangpur,DINAJPUR,PARBOTIPUR,"01712-587101(P), 01712-541585(v.p)",8
DARUNNAZAT SIDDIKIA KAMIL MADRASAH,107906,151,107906,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,"01712891493(p), 01916604225",29
DARUNNAZAT SIDDIKIA KAMIL MADRASAH,107906,151,107906,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,"01712891493(p), 01916604225",37
SREEPUR BHANGNAHATI RAHMANIA KAMIL MADRASAH,109385,154,109385,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,GAZIPUR,SREEPUR,01713-060801,17
SREEPUR BHANGNAHATI RAHMANIA KAMIL MADRASAH,109385,154,109385,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,GAZIPUR,SREEPUR,01713-060801,4
QUADERIA TAIYEBIA KAMIL MADRASAH,108244,152,108244,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,MOHAMMADPUR,"01627715444(p),01819-871277(p), 01916372830(off)",12
QUADERIA TAIYEBIA KAMIL MADRASAH,108244,152,108244,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,MOHAMMADPUR,"01627715444(p),01819-871277(p), 01916372830(off)",9
RANGUNIA ALAM SHAH PARA KAMIL MADRASAH,104831,161,104831,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,RANGUNIA,"1830043347(p), 01819337434(v.p)",17
DHAP SATGARA BAITUL MUKARRAM MODEL KAMIL MADRASAH,127450,173,127450,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Rangpur,RANGPUR,RANGPUR SADAR,"01556-335962(P), 01712-841672(off.)",5
DHAP SATGARA BAITUL MUKARRAM MODEL KAMIL MADRASAH,127450,173,127450,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Rangpur,RANGPUR,RANGPUR SADAR,"01556-335962(P), 01712-841672(off.)",13
TA'MIRUL MILLAT KAMIL MADRASAH,108478,153,108478,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,DEMRA,01712-119472,17
MADRASAH -E- ALIA,108151,150,108151,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Dhaka,DHAKA,LALBAG,"1710908686, 01912119343",12
MADRASAH -E- ALIA,108151,150,108151,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Dhaka,DHAKA,LALBAG,"1710908686, 01912119343",30
N. AKAND KAMIL MADRASAH,113181,155,113181,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Mymensingh,NETROKONA,NETROKONA SADAR,"1916711271(p), 01718438243",8
TANGAIL DARUL ULUM KAMIL MADRASAH,114727,NULL,NULL,2019-20,NULL,NULL,Dhaka,TANGAIL,TANGAIL SADAR,"1718744067, 01918568210(off)",0
FARIDGONJ MAZIDIA KAMIL MADRASAH,103624,166,103624,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHANDPUR,FARIDGONJ,"1740936103(p), 01712653349(v.p)",20
BAITUSH SHARAF ADARSHA KAMIL MADRASAH,104395,163,104395,2019-20,NULL,NULL,CHATTOGRAM,CHATTOGRAM,DOUBLEMURING,"1846552005(p), 01819974737(off)",0
SIPATALI JAMEYA GAUSIA MUINIA KAMIL MADRASAH,104455,159,104455,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,HATHAZARI,"1819337854, 01830046090",8
DARUL ULUM KAMIL MADRASAH,104524,157,104524,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,KOTWALI,"1911710517(V.P), 01813671620(off)",11
SOBHANIA ALIA KAMIL MADRASAH,104523,158,104523,2019-20,6005,ISLAMIC HISTORY AND CULTURE,CHATTOGRAM,CHATTOGRAM,KOTWALI,"01819108181(p), 01815515010(v.p)",18
CHUNTI HAKIMIA KAMIL MADRASAH,104569,NULL,NULL,2019-20,NULL,NULL,CHATTOGRAM,CHATTOGRAM,LOHAGARA,"01819177856, 01818212611",0
CHATTAGRAM NESARIA KAMIL MADRASAH,104681,156,104681,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PAHARTALI,"01554316043(p), 017114484409(off)",15
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",23
JAMEYA AHAMADIA SUNNIA KAMIL MADRASAH,104702,160,104702,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,PACHLAISH,"31655476(p), 01912511936(off)",18
KAGATIA ESHATUL ULUM KAMIL MADRASAH,104914,161,104831,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,CHATTOGRAM,ROWZAN,"1819360770(p), 01815521797(v.p)",5
COX'S BAZAR MODEL WOMEN'S KAMIL MADRASAH,106292,164,106292,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01729090071(p), 01814812324(off)",6
ISLAMIA MOHILA KAMIL MADRASAH,106293,165,106293,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,CHATTOGRAM,COX'S BAZAR,COX`S BAZAR SADAR,"01711280785(p),",8
LAXHMIPUR DARUL ULUM KAMIL MADRASAH,106949,NULL,NULL,2019-20,NULL,NULL,CHATTOGRAM,LUXMIPUR,LUXMIPUR SADAR,01716103968(muhaddith),0
RAIPUR KAMIL MADRASAH,107030,NULL,NULL,2019-20,NULL,NULL,CHATTOGRAM,LUXMIPUR,RAYPUR,"01718099777(p), 01717378433(v.p)",0
JOYPURHAT SIDDIQUIYA KAMIL MADRASAH,121855,172,121855,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,JAIPURHAT,JAIPURHAT SADAR,"1712265911(p), 01718629818(v.p)",11
NAMAZGAR GAWSUL AZAM KAMIL MADRASAH,123470,169,123470,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,NAOGAON,NAOGAON SADAR,01712-749770,10
NAMAZGAR GAWSUL AZAM KAMIL MADRASAH,123470,169,123470,2019-20,6004,ARABIC LANGUAGE AND LITERATURE,Rajshahi,NAOGAON,NAOGAON SADAR,01712-749770,3
NAWABGANJ KAMIL MADRASAH,124559,168,124559,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,CHAPAINABABGANJ,NAWABGONJ SADAR,1715137533(p),10
PABNA KAMIL MADRASAH,125647,170,125647,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Rajshahi,PABNA,PABNA SADAR,"1720433110(p), 01715182070(off)",7
MADINATUL ULUM KAMIL MADRASAH,126477,167,126477,2019-20,6005,ISLAMIC HISTORY AND CULTURE,Rajshahi,RAJSHAHI,BOALIA(SADAR),"1713760402(p), 01740204091(v.p)",2
MADINATUL ULUM KAMIL MADRASAH,126477,167,126477,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,RAJSHAHI,BOALIA(SADAR),"1713760402(p), 01740204091(v.p)",9
ULLAPARA KAMIL MADRASAH,128615,171,128615,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Rajshahi,SIRAJGANJ,ULLAPARA,"01719-531030, 01746262050(off)",7
KHULNA ALIA KAMIL MADRASAH,117162,175,117162,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,KHULNA METRO,KHULNA,KHULNA SADAR,"01558-366792, 01756-601260(P), 01550-400950(off.)",19
KHULNA ALIA KAMIL MADRASAH,117162,175,117162,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,KHULNA METRO,KHULNA,KHULNA SADAR,"01558-366792, 01756-601260(P), 01550-400950(off.)",1
JHALOKATHI N. S. KAMIL MADRASAH,101688,176,101688,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,BARISHAL,JHALOKATHI,JHALOKATHI SADAR,"01718076261(p),",12
JHALOKATHI N. S. KAMIL MADRASAH,101688,176,101688,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,BARISHAL,JHALOKATHI,JHALOKATHI SADAR,"01718076261(p),",5
SYLHET GOVT. KAMIL MADRASAH,130439,177,130439,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01712-650760(P), 01914-913205(Off.)",18
SYLHET GOVT. KAMIL MADRASAH,130439,177,130439,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01712-650760(P), 01914-913205(Off.)",18
HAZRAT SHAHJALAL DARUSSUNNAH YAQUBIA KAMIL MADRASAH,130438,178,130438,2019-20,6002,AL-HADITH AND ISLAMIC STUDIES,Sylhet,SYLHET,SYLHET SADAR,"01710-361109(P), 01712-148236(v.p)",11
BADE DEORAIL FULTALI KAMIL MADRASAH,130525,179,130525,2019-20,NULL,NULL,Sylhet,SYLHET,JAKIGONJ,"01715-978788(v.p), 01715-832174",0
BHABANIPUR ISLAMIA KAMIL MADRASAH,121024,174,121024,2019-20,6001,AL-QURAN AND ISLAMIC STUDIES,Rangpur,DINAJPUR,PARBOTIPUR,"01712-587101(P), 01712-541585(v.p)",9
